nama_rumah,kamar_mandi,kamar_tidur,luas_m2,harga,harga_m2,alamat,link,harga_kategori,harga_m2_kategori
Fortunia Residences,3,4,71,1354000000,22566667,". Jl. Raya Southcity Utara Lot 5 No. 12, Pondok Cabe, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-fortunia-residences-oleh-satrio-18942208,"0 - 1,5 M",15 - 25 Juta
Rumah Cantik 2 lantai siap huni Graha raya bintaro,2,3,71,1350000000,19285714,"Graha Raya Bintaro, Bintaro, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-cantik-2-lantai-siap-huni-graha-raya-bintaro-oleh-glodia-18106777,"0 - 1,5 M",15 - 25 Juta
Hunian nyaman dan strategis dekat jalan Raya.,3,3,110,1350000000,13636364,"Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-nyaman-dan-strategis-dekat-jalan-raya-oleh-moza-17867561,"0 - 1,5 M",10 - 15 Juta
Rumah Modern Clasic Dalam Cluster Akses Dekat Tol TB simatupang,3,3,130,1350000000,15340909,"Jln Moh Kahfi 1 Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-modern-clasic-dalam-cluster-akses-dekat-tol-tb-simatupang-oleh-syarifudin-18711710,"0 - 1,5 M",15 - 25 Juta
Jl. M Kahfi 1 Raisan Cipedak Jagakarsa,3,4,140,1350000000,15697674,". Jl. Raisan Cipedak, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-jl-m-kahfi-1-raisan-cipedak-jagakarsa-oleh-gerry-drajat-18938729,"0 - 1,5 M",15 - 25 Juta
Cluster Baru 2 Lantai Unit Terbatas Sisa 5 Unit di Jagakarsa,3,3,110,1350000000,19285714,"Jagakarsa, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-baru-2-lantai-unit-terbatas-sisa-5-unit-di-jagakarsa-oleh-ronald-ronald-18931292,"0 - 1,5 M",15 - 25 Juta
Hunian Strategis  5 Menit ke MRT LB Bulus,3,3,110,1350000000,19285714,"Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-hunian-strategis-5-menit-ke-mrt-lb-bulus-oleh-ahmad-17305296,"0 - 1,5 M",15 - 25 Juta
Rumah baru siap huni,3,3,110,1350000000,20454545,"jalan sirsak, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-rumah-baru-siap-huni-oleh-tarono-18619320,"0 - 1,5 M",15 - 25 Juta
Cluster Desain Bali Tropical,3,3,90,1350000000,20769231,"Sadar Raya, Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-cluster-desain-bali-tropical-oleh-burhan-18342213,"0 - 1,5 M",15 - 25 Juta
"Murah, keereen, cuma 7 menit ke mrt",3,3,90,1350000000,22500000,"cirendeu, Cirendeu, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-murah-keereen-cuma-7-menit-ke-mrt-oleh-sabikha-17884299,"0 - 1,5 M",15 - 25 Juta
Dijual rumah unit terakhir dlm culster degn harga spesial,3,4,140,1325000000,15406977,"Jagakarsa, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-dijual-rumah-unit-terakhir-dlm-culster-degn-harga-spesial-oleh-rizal-hermawan-18879163,"0 - 1,5 M",15 - 25 Juta
"Promo Bebas Merdeka Hanya 1, 3 M an",3,3,90,1325000000,22083333,"Cirendeu, Lebak Bulus, Jakarta Selatan, DKI Jakarta",https://www.rumah.com/listing-properti/dijual-promo-bebas-merdeka-hanya-1-3-m-an-oleh-sugiardi-18939485,"0 - 1,5 M",15 - 25 Juta
